month,Aggravated Assault,Aggravated Battery,Robbery,Criminal Sexual Assault,Murder
2019-01-01,4,4,36,NA,NA
2019-02-01,6,8,37,NA,NA
2019-03-01,4,6,21,1,NA
2019-04-01,3,8,28,NA,NA
2019-05-01,3,12,24,NA,NA
2019-06-01,9,9,34,NA,NA
2019-07-01,11,13,53,NA,1
2019-08-01,8,8,28,NA,NA
2019-09-01,4,4,17,NA,NA
2019-10-01,7,12,36,NA,NA
2019-11-01,12,8,42,NA,NA
2019-12-01,5,13,58,1,NA
2020-01-01,12,8,33,NA,NA
2020-02-01,4,5,36,NA,NA
2020-03-01,4,5,29,NA,NA
2020-04-01,6,7,32,NA,1
2020-05-01,7,9,21,NA,1
2020-06-01,1,5,23,NA,NA
2020-07-01,5,10,47,1,NA
2020-08-01,6,5,31,NA,NA
2020-09-01,3,12,26,NA,NA
2020-10-01,5,7,16,NA,NA
2020-11-01,2,11,14,1,NA
2020-12-01,9,8,11,NA,1
2021-01-01,6,4,34,1,NA
2021-02-01,7,2,16,2,NA
2021-03-01,6,7,20,1,NA
2021-04-01,8,9,30,1,NA
2021-05-01,7,6,21,2,NA
2021-06-01,10,9,37,NA,NA
2021-07-01,2,14,38,1,2
2021-08-01,10,21,25,NA,1
2021-09-01,9,9,46,NA,1
2021-10-01,7,17,44,NA,NA
2021-11-01,7,13,15,2,NA
2021-12-01,4,8,42,1,NA
2022-01-01,7,7,34,1,NA
2022-02-01,4,13,30,1,NA
2022-03-01,7,11,39,3,NA
2022-04-01,3,11,39,3,NA
2022-05-01,8,12,39,1,1
2022-06-01,14,17,39,1,1
2022-07-01,13,16,26,2,1
2022-08-01,8,20,37,2,1
2022-09-01,10,18,28,NA,1
2022-10-01,11,11,32,2,1
2022-11-01,4,8,31,1,NA
2022-12-01,6,10,16,1,NA
2023-01-01,10,8,30,1,NA
2023-02-01,14,12,25,2,NA
2023-03-01,6,15,23,NA,1
2023-04-01,9,16,27,1,NA
2023-05-01,9,14,26,3,NA
2023-06-01,9,18,24,NA,NA
2023-07-01,6,21,17,1,NA
2023-08-01,6,16,22,2,NA
2023-09-01,7,15,25,NA,NA
2023-10-01,7,17,28,2,NA
2023-11-01,11,15,30,2,NA
2023-12-01,6,13,24,1,NA
2024-01-01,8,20,23,1,1
2024-02-01,7,6,23,3,NA
2024-03-01,3,8,30,2,1
2024-04-01,11,12,24,5,NA
2024-05-01,17,22,50,NA,NA
2024-06-01,10,18,30,1,NA
2024-07-01,11,19,50,2,1
2024-08-01,9,14,30,1,NA
2024-09-01,11,24,41,3,NA
2024-10-01,9,19,32,1,1
2024-11-01,7,12,43,2,NA
2024-12-01,12,15,40,1,NA
2025-01-01,8,13,30,NA,NA
2025-02-01,12,14,22,NA,NA
2025-03-01,11,14,34,1,1
2025-04-01,10,19,37,2,NA
2025-05-01,9,18,42,1,NA
2025-06-01,6,12,27,1,NA
