category,year,month,count,rollavg_3month
Murder,2019,1,23,NA
Murder,2019,2,25,NA
Murder,2019,3,34,27
Murder,2019,4,60,40
Murder,2019,5,54,49
Murder,2019,6,51,55
Murder,2019,7,44,50
Murder,2019,8,49,48
Murder,2019,9,51,48
Murder,2019,10,41,47
Murder,2019,11,34,42
Murder,2019,12,32,36
Murder,2020,1,36,NA
Murder,2020,2,36,NA
Murder,2020,3,30,34
Murder,2020,4,62,43
Murder,2020,5,85,59
Murder,2020,6,94,80
Murder,2020,7,109,96
Murder,2020,8,68,90
Murder,2020,9,83,87
Murder,2020,10,66,72
Murder,2020,11,62,70
Murder,2020,12,56,61
Murder,2021,1,54,NA
Murder,2021,2,37,NA
Murder,2021,3,45,45
Murder,2021,4,54,45
Murder,2021,5,66,55
Murder,2021,6,84,68
Murder,2021,7,112,87
Murder,2021,8,82,93
Murder,2021,9,91,95
Murder,2021,10,62,78
Murder,2021,11,62,72
Murder,2021,12,54,59
Murder,2022,1,52,NA
Murder,2022,2,44,NA
Murder,2022,3,39,45
Murder,2022,4,52,45
Murder,2022,5,62,51
Murder,2022,6,73,62
Murder,2022,7,66,67
Murder,2022,8,68,69
Murder,2022,9,72,69
Murder,2022,10,33,58
