category,description,month,count,rollavg_3month
Theft,RETAIL THEFT,2019-01-01,832,NA
Theft,RETAIL THEFT,2019-02-01,772,NA
Theft,RETAIL THEFT,2019-03-01,769,791
Theft,RETAIL THEFT,2019-04-01,830,790
Theft,RETAIL THEFT,2019-05-01,973,857
Theft,RETAIL THEFT,2019-06-01,967,923
Theft,RETAIL THEFT,2019-07-01,1023,988
Theft,RETAIL THEFT,2019-08-01,952,981
Theft,RETAIL THEFT,2019-09-01,961,979
Theft,RETAIL THEFT,2019-10-01,886,933
Theft,RETAIL THEFT,2019-11-01,893,913
Theft,RETAIL THEFT,2019-12-01,934,904
Theft,RETAIL THEFT,2020-01-01,931,919
Theft,RETAIL THEFT,2020-02-01,786,884
Theft,RETAIL THEFT,2020-03-01,655,791
Theft,RETAIL THEFT,2020-04-01,331,591
Theft,RETAIL THEFT,2020-05-01,407,464
Theft,RETAIL THEFT,2020-06-01,360,366
Theft,RETAIL THEFT,2020-07-01,487,418
Theft,RETAIL THEFT,2020-08-01,537,461
Theft,RETAIL THEFT,2020-09-01,512,512
Theft,RETAIL THEFT,2020-10-01,463,504
Theft,RETAIL THEFT,2020-11-01,482,486
Theft,RETAIL THEFT,2020-12-01,404,450
Theft,RETAIL THEFT,2021-01-01,421,436
Theft,RETAIL THEFT,2021-02-01,344,390
Theft,RETAIL THEFT,2021-03-01,425,397
Theft,RETAIL THEFT,2021-04-01,401,390
Theft,RETAIL THEFT,2021-05-01,506,444
Theft,RETAIL THEFT,2021-06-01,448,452
Theft,RETAIL THEFT,2021-07-01,559,504
Theft,RETAIL THEFT,2021-08-01,576,528
Theft,RETAIL THEFT,2021-09-01,617,584
Theft,RETAIL THEFT,2021-10-01,661,618
Theft,RETAIL THEFT,2021-11-01,616,631
Theft,RETAIL THEFT,2021-12-01,609,629
Theft,RETAIL THEFT,2022-01-01,637,621
Theft,RETAIL THEFT,2022-02-01,672,639
Theft,RETAIL THEFT,2022-03-01,724,678
Theft,RETAIL THEFT,2022-04-01,701,699
Theft,RETAIL THEFT,2022-05-01,694,706
Theft,RETAIL THEFT,2022-06-01,725,707
Theft,RETAIL THEFT,2022-07-01,741,720
Theft,RETAIL THEFT,2022-08-01,797,754
Theft,RETAIL THEFT,2022-09-01,804,781
Theft,RETAIL THEFT,2022-10-01,785,795
Theft,RETAIL THEFT,2022-11-01,771,787
Theft,RETAIL THEFT,2022-12-01,679,745
Theft,RETAIL THEFT,2023-01-01,719,723
Theft,RETAIL THEFT,2023-02-01,627,675
Theft,RETAIL THEFT,2023-03-01,740,695
Theft,RETAIL THEFT,2023-04-01,794,720
Theft,RETAIL THEFT,2023-05-01,823,786
Theft,RETAIL THEFT,2023-06-01,818,812
Theft,RETAIL THEFT,2023-07-01,778,806
Theft,RETAIL THEFT,2023-08-01,781,792
